# r  g_300K  g_600K  g_900K
7.49 0.980683 0.988158 0.989053
7.51 0.979564 0.989367 0.981627
7.53 0.965476 0.977404 0.988636
7.55 0.9673 0.982187 0.978285
7.57 0.970525 0.981882 0.990347
7.59 0.965195 0.984741 0.98611
7.61 0.970656 0.987575 0.975705
7.63 0.98514 0.981123 0.983912
7.65 0.988846 0.9773 0.981751
7.67 0.991068 0.989039 0.982812
7.69 0.989749 0.990794 1.00115
7.71 1.00685 0.994204 0.989261
7.73 0.999722 0.989749 0.993179
7.75 1.01257 1.00541 1.00271
7.77 1.01491 1.01016 1.00204
7.79 1.0088 1.0007 0.999556
7.81 1.00096 0.994472 0.988668
7.83 1.00033 1.00152 0.990984
7.85 1.00112 1.0086 1.00253
7.87 1.00341 1.00299 0.998082
7.89 0.999265 0.996844 0.988609
7.91 1.00506 1.00643 0.993802
7.93 0.999728 1.00312 1.00512
7.95 1.0054 0.993473 0.993271
7.97 0.99519 0.999829 1.00149
7.99 1.01023 0.998872 0.991346
