# theta  CCC  CCSi  SiCSi  SiNSi  CSiC  CSiN  CSiSi  NSiN  NSiSi  SiSiSi
136.5 0 1.75439e-05 0.000296296 0 0.00293056 0.00476579 0.00502277 0.00304152 0.00553738 0.00390448
137.5 0 0 0.000109347 0 0.00282358 0.00465403 0.00443023 0.00284843 0.00598127 0.00319107
138.5 0 0 3.52734e-05 0 0.00327669 0.00381827 0.00395921 0.00229675 0.00500197 0.00336855
139.5 0 0 0 0 0.00314244 0.00401361 0.00417606 0.0023795 0.00510271 0.00415289
140.5 0 0 0 0 0.0030837 0.00331293 0.00409892 0.00286876 0.00495137 0.00378359
141.5 0 0 0 0 0.00331026 0.00322643 0.00413373 0.00268293 0.00457206 0.00405196
142.5 0 0 0 0 0.00366058 0.00287366 0.00396186 0.00244919 0.00410853 0.0038636
143.5 0 0 0 0 0.00361863 0.00294947 0.00415451 0.00274971 0.00429971 0.00328177
144.5 0 0 0 0 0.00375708 0.00297668 0.00375915 0.00232143 0.00325426 0.0032835
145.5 0 0 0 0 0.00288022 0.00314966 0.00312779 0.00253484 0.0034763 0.00267672
146.5 0 0 0 0 0.00297671 0.00286978 0.00247731 0.00256243 0.00340536 0.00343137
147.5 0 0 0 0 0.00243549 0.00317881 0.00201244 0.00311121 0.00282995 0.00304089
148.5 0 0 0 0 0.00178099 0.00300875 0.00150065 0.00231998 0.00289685 0.00347487
149.5 0 0 0 0 0.00160898 0.0026861 0.0015102 0.00286876 0.00326646 0.00300223
150.5 0 0 0 0 0.000782463 0.00228474 0.00187986 0.00211092 0.00332704 0.00280824
151.5 0 0 0 0 0.000526537 0.00228183 0.00160905 0.00180314 0.00308007 0.00275981
152.5 0 0 0 0 0.000264317 0.00193489 0.00162922 0.00178571 0.0029223 0.00250988
153.5 0 0 0 0 0.000302077 0.00145481 0.00153468 0.00174506 0.0026971 0.00208836
154.5 0 0 0 0 0.000220264 0.00133722 0.00190333 0.00153891 0.00281752 0.00171012
155.5 0 0 0 0 0.000306272 0.000868805 0.00172443 0.00132985 0.0029605 0.00140313
156.5 0 0 0 0 0.000390183 0.000874636 0.00135284 0.00248113 0.00274341 0.00110333
157.5 0 0 0 0 0.000694357 0.00052381 0.00125832 0.00274681 0.00253791 0.00121187
158.5 0 0 0 0 0.000742605 0.000664723 0.000922351 0.00277875 0.00269972 0.00152273
159.5 0 0 0 0 0.00100273 0.000524781 0.00106143 0.00272648 0.00238095 0.00161877
160.5 0 0 0 0 0.00131319 0.000506317 0.00101193 0.00318235 0.00229324 0.00216593
161.5 0 0 0 0 0.00139081 0.000464529 0.00098305 0.00349448 0.00194752 0.00243419
162.5 0 0 0 0 0.00166142 0.000608358 0.00104243 0.00320557 0.00182864 0.00199045
163.5 0 0 0 0 0.00156493 0.000603499 0.00132492 0.00323461 0.00164013 0.00193964
164.5 0 0 0 0 0.00148731 0.000988338 0.00121259 0.00320267 0.00148937 0.00182053
165.5 0 0 0 0 0.00178099 0.00103207 0.00149058 0.00259437 0.00110628 0.00127932
166.5 0 0 0 0 0.00178099 0.00102721 0.0012768 0.00229675 0.00107332 0.00102507
167.5 0 0 0 0 0.00183763 0.00131487 0.00110779 0.00193089 0.00101632 0.000826022
168.5 0 0 0 0 0.00126495 0.00113022 0.00170802 0.00207753 0.00105126 0.000671139
169.5 0 0 0 0 0.00139291 0.00076482 0.00132546 0.0016565 0.00118455 0.000895122
170.5 0 0 0 0 0.00105307 0.000528669 0.00126961 0.00202381 0.000997228 0.000671554
171.5 0 0 0 0 0.00100482 0.000586006 0.00122842 0.00159988 0.00100748 0.000887854
172.5 0 0 0 0 0.0013992 0.000568513 0.00130297 0.00136034 0.00124513 0.000768247
173.5 0 0 0 0 0.00113489 0.000283771 0.0010454 0.00163037 0.00125012 0.000613346
174.5 0 0 0 0 0.000918817 0.000161322 0.000830512 0.0012108 0.00114947 0.000432928
175.5 0 0 0 0 0.00104678 0 0.000581823 0.000937863 0.000911542 0.000595829
176.5 0 0 0 0 0.000568492 2.04082e-05 0.000648181 0.000484901 0.000799314 0.000551996
177.5 0 0 0 0 0.000213971 0 0.000355751 0.000242451 0.000645316 0.000394199
178.5 0 0 0 0 0.000304175 5.92809e-05 0.000212513 0.000121951 0.000392251 0.000470313
179.5 0 0 0 0 0 0 7.65497e-05 3.04878e-05 0.000120401 0.000159826
